,Company Name,Job Title,Job Details
36,AMD,SMTS Software Development Eng.,"About the job
WHAT YOU DO AT AMD CHANGES EVERYTHING

We care deeply about transforming lives with AMD technology to enrich our industry, our communities, and the world. Our mission is to build great products that accelerate next-generation computing experiences - the building blocks for the data center, artificial intelligence, PCs, gaming and embedded. Underpinning our mission is the AMD culture. We push the limits of innovation to solve the world’s most important challenges. We strive for execution excellence while being direct, humble, collaborative, and inclusive of diverse perspectives.

AMD together we advance_

Lead AI/ML Engineer

The Role

AMD is looking for an influential software engineer who is passionate about improving the performance of key applications and benchmarks. You will be a member of a core team of incredibly talented industry specialists and will work with the very latest hardware and software technology. 

The ideal candidate shall have in-depth knowledge on state of the art AI/ML algorithms and inference workloads spanning across key embedded domains such as computer vision, voice recognition and generative AI using LLMs. In addition, prior experience in AI/ML model operators and kernels on popular HW accelerators including GPUs and NPUs are highly desirable. The ability to perform model quantization and other efficient inference techniques for embedded systems are essential. As a AI/ML development engineer, you will be tasked with various implementations ranging from end to end AI pipeline delivery, performance profiling to customer specific issue resolutions. We emphasize on Linux based SW development with real time embedded applications, and also standard frameworks such as ONNX RT and AMD ROCm.

 

 

What You’ll Do

🔹 Develop and optimize AI/ML models and pipelines for embedded platforms

🔹 Work with hardware accelerators like GPUs and NPUs for model operators and kernels

🔹 Apply model quantization and efficient inference techniques for resource-constrained devices

🔹 Deliver end-to-end AI solutions, from deployment to customer-specific troubleshooting

🔹 Develop Linux-based real-time embedded software using frameworks like ONNX Runtime and AMD ROCm

Who You Are

 Looking 14+Years of relevant experience
 Experienced in state-of-the-art AI/ML algorithms and embedded inference workloads
Skilled in AI/ML kernel development on GPUs and NPUs
 Proficient with model quantization and performance optimization
 Comfortable with Linux, real-time embedded systems, and AI frameworks


Join us and work on next-gen AI technology shaping the future of embedded systems!

Academic Credentials

Bachelor’s or Master's degree in Computer Science, Computer Engineering, Electrical Engineering, or equivalent 


Benefits offered are described: AMD benefits at a glance.

AMD does not accept unsolicited resumes from headhunters, recruitment agencies, or fee-based recruitment services. AMD and its subsidiaries are equal opportunity, inclusive employers and will consider all applicants without regard to age, ancestry, color, marital status, medical condition, mental or physical disability, national origin, race, religion, political and/or third-party affiliation, sex, pregnancy, sexual orientation, gender identity, military or veteran status, or any other characteristic protected by law. We encourage applications from all qualified candidates and will accommodate applicants’ needs under the respective laws throughout all stages of the recruitment and selection process."
37,Bajaj Finserv,Data Analyst,"About the job
Location Name: Pune Corporate Office - Mantri

Job Purpose

“This position is open with Bajaj Finance Ltd.”

Duties And Responsibilities

 Write efficient SQL queries to extract, transform, and load data
 Develop Python scripts for data processing, analysis, and automation
 Utilize Databricks to build scalable data pipelines and notebooks
 Collaborate with cross-functional teams to interpret data requirements
 Perform exploratory data analysis and generate actionable insights
 Maintain data integrity and troubleshoot issues in datasets
 Work within modern cloud environments (Azure, AWS, or GCP)
 Support initiatives involving AI/ML technologies and tools
 Recommend, document, and oversee policies and procedures to meet industry best practices and to meet required SLAs.
 Excellent Communication


Required Qualifications

Required Qualifications and Experience

 Bachelor’s degree in Information Technology, Computer Science, or related field
 2–3 years of experience in a data-driven role
 Proficiency in SQL and Python
 Hands-on experience with Databricks or similar data platforms
 Understanding of cloud architecture (Azure, AWS, or GCP preferred)
 Familiarity with AI technologies like machine learning frameworks or cloud-based AI tools
 Analytical mindset with problem-solving capabilities
 Excellent communication and documentation skills
 Knowledge of Azure, SFDC, Power BI would be added advantage
 Exceptionally high motivational levels and needs to be a self-starter."
38,New Relic,Software Engineer,"About the job
We are a global team of innovators and pioneers dedicated to shaping the future of observability. At New Relic, we build an intelligent platform that empowers companies to thrive in an AI-first world by giving them unparalleled insight into their complex systems. As we continue to expand our global footprint, we're looking for passionate people to join our mission. If you're ready to help the world's best companies optimize their digital applications, we invite you to explore a career with us!

Your Opportunity

At New Relic, we provide businesses with a state-of-the-art observability platform, leveraging advanced technologies to deliver real-time insights into the performance of software applications and infrastructure. As a company at the forefront of the industry, we enable organizations to monitor, analyze, and optimize their systems to achieve enhanced reliability, performance, and user experience. Join us in our mission to revolutionize observability and empower businesses in today's dynamic digital landscape.

Job Summary

We are seeking a passionate Software Engineer with a strong background in Java and distributed systems to enhance our SaaS platform's capabilities. You will be responsible for designing and developing services that can scale to meet the demands of our growing user base while ensuring high reliability and performance.

Key Responsibilities

Design and develop scalable and reliable backend services in Java for our SaaS platform.
Architect and implement solutions for distributed systems within a microservices framework.
Optimize system performance to handle high-volume traffic and data.
Collaborate with cross-functional teams to integrate Kafka for building an efficient event-driven architecture.
Utilize Kubernetes for deploying, scaling, and managing containerized applications.
Drive continuous improvement in our development practices and advocate for best practices and standards.
Mentor junior engineers and contribute to the team's knowledge-sharing efforts.

Qualifications

Minimum of 3 years of professional software development experience with a focus on Java backend development.
Demonstrated experience in designing and building distributed systems.
Strong knowledge of SaaS platform architecture and cloud-based solutions.
Proficiency with Kafka, Kubernetes, and microservices design patterns.
Experience with event-driven architecture and asynchronous messaging systems.
Solid understanding of software development lifecycle and experience with CI/CD practices.
Excellent problem-solving abilities and a commitment to quality.
Effective communication skills and a collaborative team player.

Bonus Points If You Have

Experience building and maintaining high throughput pipelines and distributed systems.
Experience working on an Observability product, especially in the SaaS vendor space.

Fostering a diverse, welcoming and inclusive environment is important to us. We work hard to make everyone feel comfortable bringing their best, most authentic selves to work every day. We celebrate our talented Relics’ different backgrounds and abilities, and recognize the different paths they took to reach us – including nontraditional ones. Their experiences and perspectives inspire us to make our products and company the best they can be. We’re looking for people who feel connected to our mission and values, not just candidates who check off all the boxes.

If you require a reasonable accommodation to complete any part of the application or recruiting process, please reach out to resume@newrelic.com.

We believe in empowering all Relics to achieve professional and business success through a flexible workforce model. This model allows us to work in a variety of workplaces that best support our success, including fully office-based, fully remote, or hybrid.

Our hiring process

In compliance with applicable law, all persons hired will be required to verify identity and eligibility to work and to complete employment eligibility verification. Note: Our stewardship of the data of thousands of customers means that a criminal background check is required to join New Relic.

We will consider qualified applicants with arrest and conviction records based on individual circumstances and in accordance with applicable law including, but not limited to, the San Francisco Fair Chance Ordinance.

Headhunters and recruitment agencies may not submit resumes/CVs through this website or directly to managers. New Relic does not accept unsolicited headhunter and agency resumes, and will not pay fees to any third-party agency or company that does not have a signed agreement with New Relic.

New Relic develops and distributes encryption software and technology that complies with U.S. export controls and licensing requirements. Certain New Relic roles require candidates to pass an export compliance assessment as a condition of employment in any global location. If relevant, we will provide more information later in the application process.

Candidates are evaluated based on qualifications, regardless of race, religion, ethnicity, national origin, sex, sexual orientation, gender expression or identity, age, disability, neurodiversity, veteran or marital status, political viewpoint, or other legally protected characteristics.

Review our Applicant Privacy Notice at https://newrelic.com/termsandconditions/applicant-privacy-policy"
39,Virtusa,Java Developer,"About the job
Responsibilities

Develop and maintain backend systems using Java and Spring Boot

Implement data management solutions with Spring Data and SQL

Design and develop REST and SOAP services

Collaborate with front end developers and other team members to integrate user facing elements with server side logic

Participate in code reviews and ensure high quality code standards

Troubleshoot and resolve issues in existing applications

Contribute to the continuous improvement of development processes and practices

Optional Responsibilities

Implement security measures using Spring Security

Requirements

Bachelors degree in Computer Science Information Technology or a related field

Strong proficiency in Java and Spring Boot

Experience with Spring Data and SQL databases

Knowledge of REST and SOAP services

Excellent problem solving skills and attention to detail

Strong communication and teamwork abilities

Desired Skills and Experience
REST, SOAP, SQL, Spring Boot, Java"
40,NVIDIA,Senior System Software Engineer,"About the job
NVIDIA's GeForce Now, the next-generation gaming service powered by NVIDIA GPUs in the cloud, transforms a Mac, any PC or just a mobile device into a high-performance gaming rig. GeForce NOW automatically keeps games up-to-date and users around the globe can instantly stream the latest games in high-definition resolution at the lowest latency for smoothest of gameplay. Just click and play! Visit us at https://www.nvidia.com/en-us/geforce-now

We are looking for a Senior Systems Software Engineer to join our team of skilled and motivated engineers. We develop highly optimized streaming clients, achieve ultra low latencies, strike the right balance between portability and performance and bring GeForce Now to the leanest of consumer devices. Are you passionate about streaming technology and driving it to its edge? Then we are keen to hear from you.

What You Will Be Doing

Design, implement, and optimize video pipelines for GPU acceleration.
Innovate, design and develop features to improve image quality, performance, reliability, security and maintainability on diverse hardware and OS environments.
Define and develop performance metrics for targeted impact analysis, analyze, and continuously improve feature impact.
Develop and maintain tools for video quality analysis, debugging, and performance benchmarking
Contribute actively to code and design reviews, team processes and methodologies

What We Need To See

Highly proficient in Objective C/ Java/ C/C++, Javascript programming
Expert level knowledge in low-latency video streaming pipelines, including video codecs, display, color spaces, scaling and other video processing operations
Proficiency in one or more platform-specific frameworks: DirectX, MediaFoundation, Vulkan, Metal, VideoToolbox, MediaCodec.
Experience in building and optimizing streaming applications on different platforms including more than one of Windows/ Mac/ Linux/ Android/ iOS
Proficient in scalable statistical data analysis methods to quantify feature effectiveness and measure product performance
Experience integrating AI models into real time video pipelines
Strong debugging and testing skills in system software development.
Bachelors or Masters or equivalent experience in Computer Science or a related area
5+ years of proven experience in systems software development with a focus on real time streaming.

Ways To Stand Out From The Crowd

Experience in training DL models on video data for image quality enhancements and/ or adaptive streaming
Familiarity with graphics rendering and video playback pipeline in Chromium, WebRTC

NVIDIA considers itself to be an Equal Opportunities Employer and is committed to providing equal opportunities in employment regardless of sex, marital or civil partner status, gender reassignment, sexual orientation, religion or belief, disability, colour, race, nationality, ethnic or national origin, age, pregnancy or trade union membership or the fact that they are a part-time worker or a fixed-term employee

JR2001281"
41,United Airlines,Analyst - Business Intelligence,"About the job
Achieving our goals starts with supporting yours. Grow your career, access top-tier health and wellness benefits, build lasting connections with your team and our customers, and travel the world using our extensive route network.

Come join us to create what’s next. Let’s define tomorrow, together.

Description

At United, we have some of the best aircraft in the world. Our Technical Operations team is full of aircraft maintenance technicians, engineers, planners, ground equipment and facilities professionals, and supply chain teams that help make sure they’re well taken care of and ready to get our customers to their desired destinations. If you’re ready to work on our planes, join our Tech Ops experts and help keep our fleet in tip-top shape.

Job Overview And Responsibilities

United's Maintenance & Engineering operation collects mountains of data, including maintenance plans, log pages, task signoffs, schedule reliability performance, aircraft routing, part availability, and more. The Tech Ops Business Intelligence team will be tasked to deliver the right information to the right people in the right format at the right time, all with the goal of enabling better operational decisions that improve United's flight completion rate, on-time performance, productivity, and cost. This includes both performance trends looking backward, real-time operational status, and expectations looking forward. The team has five core responsibilities: Data design and validation, Data analysis, KPI design, dashboard creation, and automation.

Support with design of meaningful metrics that indicate operational health and inform operational decisions 
Generate high-quality operational dashboards and reports for Tech Ops leadership, front-line management, and individual business teams throughout the organization 
Curate tables and views that serve as the ""single source of truth"" for United's Tech Ops data 
Continuously interface with business groups throughout Tech Ops to understand organizational needs and design solutions 
Support with automating existing manual reports and processes to improve operational throughput 
Document the Tech Ops data landscape, maintain an inventory of reports, and plan for report consolidation, elimination, and/or improvement

This position is offered on local terms and conditions. Expatriate assignments and sponsorship for employment visas, even on a time-limited visa status, will not be awarded. This position is for United Airlines Business Services Pvt. Ltd - a wholly owned subsidiary of United Airlines Inc.

Qualifications

What’s needed to succeed (Minimum Qualifications):

Bachelor's degree in a quantitative field like Math, Statistics, Operations Research, Computer Science, Engineering, or related field required
At least 2 years of experience in analytics/ reporting required
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Understanding of data structures, relationships, and efficient transformations
Knowledge and application of data visualization best practices""
Familiarity with writing complex queries and procedures using both traditional and modern technologies/languages (i.e. SQL, Python, Spark, etc.)
Data visualization skills using one or more reporting tools (i.e. Spotfire, Tableau, ggplot2, etc.) to produce meaningful, elegant dashboards
Experience with JavaScript, D3, HTML, CSS / front-end development 
Ability to learn what a business team does, then design a data/technology solution that connects business processes with quantifiable outcomes
Must be legally authorized to work in India for any employer without sponsorship
Must be fluent in English (written and spoken)
Successful completion of interview required to meet job qualification
Reliable, punctual attendance is an essential function of the position

What will help you propel from the pack (Preferred Qualifications):

Master's Degree in a quantitative field preferred 
Airline experience or knowledge of airline operations preferred 
Familiarity with various parts of the data ecosystem (acquisition, engineering, storage, management, analysis, visualization, and deployment) preferred 
Exposure to statistical and analytical methods preferred"
42,Citi,Java Developer,"About the job
The Applications Development Programmer Analyst is an intermediate level position responsible for participation in the establishment and implementation of new or revised application systems and programs in coordination with the Technology team. The overall objective of this role is to contribute to applications systems analysis and programming activities.

Responsibilities:

Utilize knowledge of applications development procedures and concepts, and basic knowledge of other technical areas to identify and define necessary system enhancements
Identify and analyze issues, make recommendations, and implement solutions
Utilize knowledge of business processes, system processes, and industry standards to solve complex issues
Analyze information and make evaluative judgements to recommend solutions and improvements
Conduct testing and debugging, utilize script tools, and write basic code for design specifications
Assess applicability of similar experiences and evaluate options under circumstances not covered by procedures
Develop working knowledge of Citi’s information systems, procedures, standards, client server application development, network operations, database administration, systems administration, data center operations, and PC-based applications
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.

Qualifications:

2-4 Years of Software development experience-
Develop and maintain banking applications using Java, SpringBoot, Angular, JPA frameworks.
Work with databases (Oracle, MongoDB) for transaction processing or Snowflake for analytical data.
Participate in code reviews and follow established development practices and Support application deployments using CI/CD tools
Learn and implement TDD practices under senior developer guidance
Contribute to documentation and system specifications
Collaborate in Agile rituals, code reviews, and team demos
Test Driven development and automated testing tools like JUnit, Cucumber/ Jasmine; JIRA, Gradle, Sonar.
Working with Cloud platforms for deployment and AI based engineering tools.

Education:

Bachelor’s degree/University degree or equivalent experience

This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.

------------------------------------------------------

Job Family Group: 

Technology

------------------------------------------------------

Job Family:

Applications Development

------------------------------------------------------

Time Type:

Full time

------------------------------------------------------

Most Relevant Skills

Please see the requirements listed above.

------------------------------------------------------

Other Relevant Skills

For complementary skills, please see above and/or contact the recruiter.

------------------------------------------------------

Citi is an equal opportunity employer, and qualified candidates will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other characteristic protected by law.

If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.

View Citi’s EEO Policy Statement and the Know Your Rights poster."
43,Checkmarx,Junior Backend Engineer,"About the job
Who are we?

Checkmarx is the leader in application security and ensures that enterprises worldwide can secure their application development from code to cloud. Our consolidated platform and services address the needs of enterprises by improving security and reducing TCO, while simultaneously building trust between AppSec, developers, and CISOs. At Checkmarx, we believe it’s not just about finding risk but remediate it across the entire application footprint and software supply chain with one seamless process for all relevant stakeholders.

We are honored to serve more than 1,800 customers, which includes 40 percent of all Fortune 100 companies including Siemens, Airbus, SalesForce, Stellantis, Adidas, Wal-Mart and Sanofi.

We’re excited to expand our global presence with the opening of a new site in Pune, India—an innovation hub designed to attract top talent and fuel the future of application security. Joining our Pune team means working on cutting-edge technologies in cloud, DevSecOps, AI-driven security and being part of a high-impact engineering culture where your code helps secure the software that powers the world.

What would you be doing?

Contribute to the development and maintenance of cloud-native microservices using Java

 Collaborate with senior engineers on feature design, implementation, and code reviews
 Integrate backend components with databases, cloud services, and CI/CD pipelines
 Write clean, maintainable, and testable code following best practices
 Participate in team discussions, knowledge sharing, and agile ceremonies
 Support troubleshooting and debugging of backend systems in production and staging environments

Requirements:

BSc in Computer Science / Software Engineering or equivalent

 2 years of experience in backend development with Java
 Familiarity with Spring Boot and microservices architecture
 Understanding of RESTful API design and implementation
 Experience with relational databases (PostgreSQL – advantage)
 Basic understanding of CI/CD pipelines and tools (e.g., Jenkins, CircleCI, ArgoCD)
 Hands-on experience with Git and version control workflows (GitHub, GitLab, Bitbucket, or Azure DevOps)
 Exposure to containerized development (Docker) and cloud platforms (AWS – advantage)
 Team player with strong problem-solving skills and eagerness to learn
 Excellent written and verbal communication skills in English

Nice to Have

Exposure to Kubernetes or cloud-native patterns

 Basic experience with system/integration tests written in Go
 Familiarity with software security principles and best practices

What we have to offer:

Checkmarx offers a great work environment, professional development, challenging careers, competitive compensation, great work-life balance, as well as great benefits and perks throughout the year. Checkmarx is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, or other characteristics protected by law."
44,Accelya,Engineer II -Java Developer,"About the job
For more than 40 years, Accelya has been the industry’s partner for change, simplifying airline financial and commercial processes and empowering the air transport community to take better control of the future. Whether partnering with IATA on industry-wide initiatives or enabling digital transformation to simplify airline processes, Accelya drives the airline industry forward and proudly puts control back in the hands of airlines so they can move further, faster.

Role purpose

As an Engineer II - Software Development, you will build high-quality, innovative and fully performing software that complies with coding standards and technical design. To do so, you will gather user requirements, define system functionality and write code in various languages

Duties And Responsibilities

Translate processes and enhancement specifications into programs
Develop or refine error-free code within agreed timescales using development techniques, tools, methods and languages with the aim of optimizing operational efficiency.
Evaluate changes and perform impact analysis
Work with functional staff to establish and clarify requirements
Investigate reported faults in operational code to determine changes and approaches to the code for promotion and replacement, conforming to established procedures.
Design and prepare unit testing plan strategies and write test scripts to validate all new software development and enhancements.
Take ownership of the test and implementation phases of projects

Knowledge, Experience & Skills

Knowledge required in: Java, JavaEE frameworks (Spring, Struts), HTML/HTML5, CSS/CSS3, Eclipse, JavaScript, JQuery and SQL
Experience managing servers in linux environments (Tomcat, JBoss)
Experience in understanding functional requirements
Experience in delivering technical documentation
Degree in Software Engineering

What does the future of the air transport industry look like to you? Whether you’re an industry veteran or someone with experience from other industries, we want to make your ambitions a reality!"
45,Infogain,Core Java Developer (Standard),"About the job
Roles & Responsibilities

Core Skills

Proficient in Java programming, including Java SE and Java EE Experience in Java-related frameworks and libraries (e.g., Spring, Hibernate, JavaFX) Proficiency in writing clean, maintainable, and efficient code

Secondary Skills

Spring Framework
Hibernate
Oracle Database

Soft Skills And Professional Attributes

Detail-oriented
Willingness to learn and adapt
Proactive and self-motivated
Good problem-solving skills
Ability to work in a fast-paced environment

Engineering Skills

Experience with code reviews, unit testing, and integration testing
Strong understanding of design patterns and data structures
Ability to troubleshoot and debug complex issues
Experience with agile methodologies
Excellent written and verbal communication skills
Strong collaboration and team player

Job Responsibilities

Design, develop and maintain high-volume, low-latency applications for mission-critical systems
Contribute in all phases of the development lifecycle
Write well-designed, efficient, and testable code
Ensure designs are in compliance with specifications
Prepare and produce releases of software components
Support continuous improvement by investigating alternatives and technologies

Experience

3-4.5 Years

Skills

Primary Skill: Java Development
Sub Skill(s): Java Development 
Additional Skill(s): Core Java, Spring

About The Company

Infogain is a human-centered digital platform and software engineering company based out of Silicon Valley. We engineer business outcomes for Fortune 500 companies and digital natives in the technology, healthcare, insurance, travel, telecom, and retail & CPG industries using technologies such as cloud, microservices, automation, IoT, and artificial intelligence. We accelerate experience-led transformation in the delivery of digital platforms. Infogain is also a Microsoft (NASDAQ: MSFT) Gold Partner and Azure Expert Managed Services Provider (MSP).

Infogain, an Apax Funds portfolio company, has offices in California, Washington, Texas, the UK, the UAE, and Singapore, with delivery centers in Seattle, Houston, Austin, Kraków, Noida, Gurgaon, Mumbai, Pune, and Bengaluru."
46,Xformics Inc,Java Backend Developer,"About the job
Xformics Inc. is a global product and strategic consulting company with a presence in the USA, Canada, Europe and India. With a leadership team derived from the best of GE, Oracle and IBM, Xformics advanced AI and digital products solve niche problems across various industry verticals, be it predicting the failure of Jet engines or optimizing the supply chain focusing on order fulfilment end to end life cycle. Our clients include many Fortune 100 companies in Banking, Retail, Manufacturing, and Healthcare. Join us and help define the technologies that are shaping the world of tomorrow.

Position: Java/Sr. Java Backend Developer
Location: Remote
Experience Required: 6-8 years
Only Immediate Joiners preferred

 Technical Skills
Overall, 6-8 years of professional experience.
Experience developing microservices and cloud native apps using Java(17/21)/J2EE, REST APIs, Spring Core, Spring Boot Framework, MVC, and WebFlux, Spring Security, and similar tech stacks (Open source and proprietary).
Messaging framework - Kafka
Experience working with Unit testing using frameworks such as Junit, Mockito, and JBehave.
Build and deploy services using Gradle, Maven, Jenkins, etc. as part of CI/CD process.
Experience with any Relational Database (Oracle, PostgreSQL, etc.).

 Soft skills
Designing, developing, and implementing custom software and database application capabilities with limited oversight.
Excellent communication skills – design-related conversations, ability to build and nurture good relationships, and foster an environment for collaboration.
Acting as a member of the team, supporting teammates and collaborating with a do what it takes attitude to ensure project and team success.

 Responsibilities
Be part of a team of engineers in developing elegant and high-performing code.
Ensure quality practices – unit testing, code reviews / leading tests.
Optimize the application for non-functional requirements.
Build and deploy components as part of the CI/CD process.
Will be responsible for end-to-end application delivery, including coordination with required teams for production deployment.
Continuously monitors application health and KPIs (Key Performance Indicators), supports triage of any production issues as and when needed.
Collaborate in troubleshooting complex data, features, service, and platform issues and perform root cause analysis to proactively resolve product and operational issues.
Be an advocate of security best practices, champion and support the importance of security within engineering."
47,HINDCO Consulting Services,Data Analyst,"About the job
Role & Responsibilities:
Implement data collection systems, ensuring data accuracy and integrity, and managing databases. 
Identify and remove errors, duplicates, and outliers from raw data to prepare it for accurate analysis. 
Use statistical methods to find patterns and trends in complex datasets and understand business performance. 
Create visual aids like charts, graphs, and dashboards to present complex findings clearly. 
Produce reports and present insights to technical and non-technical stakeholders to help inform strategic decisions. 

Candidate Profile:
Proficiency in SQL, statistical software, and visualization tools like Tableau and Power BI. 
Familiarity with languages like Python or R for advanced analysis and data manipulation is often required. 
Ability to interpret data, identify trends, and solve business problems. 
Strong ability to communicate complex information effectively to various audiences. 
Understanding business objectives and aligning data analysis with organizational goals."
48,Nidish - Sales & Marketing Automation Agency,Junior Full Stack Engineer,"About the job
Company Description
Nidish is an Austin-based consulting and implementation partner that helps businesses unlock revenue growth and achieve operational excellence. We specialize in CRM Implementation & Optimization, Sales & Marketing Workflow Automation, Website Development, and Platform Integration & Data Sync. Our team transforms fragmented operations into scalable, integrated ecosystems, aligning technology with business strategy to drive measurable growth. We ensure faster scaling, better conversion rates, and smarter service by optimizing every step from first contact to closed deals.

Role Description
This is a full-time remote role for a Junior Full Stack Engineer. The Junior Full Stack Engineer will be responsible for developing and maintaining both front-end and back-end components of web applications. Daily tasks include writing clean, efficient code, working with CSS for styling, and participating in software development projects. The engineer will collaborate with cross-functional teams to create integrated solutions that meet client needs.

Qualifications
Experience in Back-End Web Development using Node.js
Front-End Development skills, including proficiency with CSS & JavaScript
Proficiency in Software Development and Full-Stack Development
Excellent problem-solving skills and attention to detail
Ability to work independently and remotely in a fast-paced environment
Familiarity with CRM systems like HubSpot, Salesforce, Zoho, and Odoo is a plus
Bachelor's degree in Computer Science, Engineering, or a related field"
49,SCG,Data Analyst/Engineer – SCG India,"About the job
About SCG in India
SCG, Southeast Asia’s leading industrial conglomerate, is expanding in India with a focus on sustainable building materials, modern construction solutions, and digital transformation. Beyond advanced products, SCG is building capabilities in data-driven operations and analytics, leveraging India’s talent base to strengthen decision-making and performance.

About the Role
As a Data Analyst/Engineer, you will transform raw data into insights that support business growth, operational efficiency, and customer value.

Key Responsibilities
Collect, clean, and analyze data from sales, supply chain, and operations.
Build dashboards and reports to support decision-making.
Identify patterns, trends, and opportunities for improvement.
Collaborate with cross-functional teams to define KPIs and metrics.
Support data governance and documentation practices.

Qualifications
Bachelor’s degree in Data Science, Statistics, Computer Science, or related fields.
0–3 years of experience in analytics; new graduates are welcome.
Proficiency in Excel and at least one analytics tool (SQL, Python, Power BI, or Tableau).
Strong problem-solving and communication skills.

Career Development
This role provides pathways into data engineering, business analytics, and digital strategy roles across SCG’s global network."
50,Hanabi Technologies,Software Engineer Intern,"About the job
Company Description
Welcome to Hanabi Technologies on LinkedIn! We specialize in bespoke software development. Our core product, Hana, is an all-expert human assistant seamlessly integrated into Google Chat. Hana enhances productivity and collaboration with its advanced capabilities, including memory, Google Workspace integration, and analysis tools. Our services range from mobile and desktop applications to AI integrations and web development.

Role Description
This is a full-time remote role for an Artificial Intelligence Intern at Hanabi Technologies. The intern will be involved in day-to-day tasks related to computer science, data science, machine learning, and programming. Responsibilities include assisting in AI integrations, data analysis, and software development tasks. Your primary work will be to work on https://hana.hanabitech.com. This is a chance to have a real impact in the AI domain. All your work will be shipped to production!

Key Objectives
Making you job-ready and market ready
Giving you the opportunity to work on Hana (https://hanabot.ai) with real users and real impact
Giving you access to all the latest tools, OpenAI codex, ChatGPT, Hana herself as an AI assistant
Making you learn and use latest AI tooling such as Langchain, Langgraph, OpenAI APIs, building and optimizing RAG pipelines and so on...
We have a state of the art RAG pipeline and response generation flow
Building connectors
Working on MCP support for Hana
You may support some consulting projects alongside

Qualifications - What We Expect
Computer Science and Programming skills
Analytical Skills and Data Science knowledge
Experience or interest in Machine Learning and AI
Strong problem-solving abilities
Ability to work independently
JavaScript/TypeScript knowledge is a must
Knowledge of Python is a plus
Currently pursuing or recent graduate with a degree in Computer Science, Data Science, or a related field
Must be available for a period of at least 6 months
Must be available full time during normal office hours
Expected to be a self-learner (we cannot babysit you, please take initiative to learn yourself and push yourself in this internship) and contribute at a full time level
Senior engineer attitude, we do not want applicants who think internship is just for chilling

Compensation
This is a paid work-from-home internship
Stipend will depend upon qualifications and candidate strength"
51,BOT Campus AI,Software Engineer Fresher,"About the job
Company Description
 BotCampusAI Learning Solutions Pvt Ltd is a forward-thinking EdTech company specializing in online education in Artificial Intelligence, Machine Learning, Data Science, and Cloud Computing. Our mission is to equip professionals with cutting-edge skills and practical knowledge. We offer a variety of interactive courses and hands-on training designed for both beginners and seasoned tech professionals. Committed to bridging theoretical concepts with real-world applications, we empower learners to thrive in the rapidly evolving tech industry.
 Role Description
 This is a full-time remote role for a Software Engineer Fresher. The Software Engineer Fresher will be responsible for assisting in the development and maintenance of software applications. Day-to-day tasks will include programming, back-end web development, debugging software issues, and collaborating with team members to design and implement new features. This role also involves participating in code reviews and contributing to software documentation.
 Qualifications
  Skills in Computer Science and Software Development
Knowledge of Back-End Web Development
Proficiency in Programming and Object-Oriented Programming (OOP)
Excellent problem-solving abilities and attention to detail
Ability to work independently and in a team
Effective communication and collaboration skills
Bachelor’s degree in Computer Science or a related field
Previous internship or project experience in software development is a plus"
52,UM IT Solutions,Front-End Developer Intern,"About the job
Front-End Developer Intern (Paid)
Company: WebBoost Solutions by UM
Location: Remote
Duration: 3 months
Application Deadline: 13th September 2025
Opportunity: Full-time role based on performance + Internship Certificate
About WebBoost Solutions by UM
WebBoost Solutions by UM provides students and graduates with hands-on experience in front-end development, equipping them with the skills needed for a successful career.
Responsibilities
Design, code, and modify websites
Implement responsive and interactive web features
Develop user-friendly interfaces and experiences
Test and debug code to ensure seamless functionality
Use front-end tools and frameworks
Requirements
Enrolled in or a recent graduate of a relevant program
Skilled in HTML, CSS, and JavaScript
Familiarity with frameworks like React, Angular, or Vue.js (preferred)
Strong communication and teamwork skills
Stipend & Benefits
Stipend: ₹7,500 - ₹15,000 (Performance-Based) (Paid)
Real-world front-end development experience
Certificate of Internship & Letter of Recommendation
Opportunity to build a strong portfolio with impactful projects
How to Apply
Submit your application with the subject line s applicants from all backgrounds."
