,Company Name,Job Title,Job Meta Data,Job Details
13,HARMAN India,Software Engineering-Embedded Software Engineering,"['Bengaluru, Karnataka, India', ' · ', '2 weeks ago', ' · ', 'Over 100 people clicked apply', 'Promoted by hirer', ' · ', 'Responses managed off LinkedIn', 'Full-time']","About the job
Introduction: A Career at HARMAN Automotive

We’re a global, multi-disciplinary team that’s putting the innovative power of technology to work and transforming tomorrow. At HARMAN Automotive, we give you the keys to fast-track your career.

Engineer audio systems and integrated technology platforms that augment the driving experience. 
Combine ingenuity, in-depth research, and a spirit of collaboration with design and engineering excellence. 
Advance in-vehicle infotainment, safety, efficiency, and enjoyment. 

About The Role

We are looking for a passionate and skilled Senior Software Engineer to join our Core Assets team, focusing on Telematics Control Unit (TCU) software development. This role involves designing, developing, and maintaining software components that serve as reusable assets across multiple projects. You will work collaboratively with a team of engineers to build robust, scalable, and maintainable software modules used across various automotive applications.

What You Will Do

Design, develop, and maintain software for core assets across TCU applications. 
Contribute to Unit Testing (UT), CI/CD pipelines, and defect resolution processes. 
Participate in code reviews, design discussions, and agile ceremonies. 
Collaborate with cross-functional teams to ensure product integration and compliance with system requirements. 
Maintain clean and well-documented code following coding standards and guidelines. 

What You Need To Be Successful

Strong proficiency in C/C++ development in embedded or system-level environments. 
Good understanding of object-oriented programming and real-time systems. 
Basic proficiency in Python for scripting and tool development. 
Experience with Shell scripting on Linux-based systems. 
Familiarity with AI-powered development tools like GitHub Copilot, VS Code, etc. 
Exposure to CI/CD tools like Jenkins, Git, GitLab, or similar. 
Strong debugging and problem-solving skills. 

Bonus Points if You Have

Experience working in the automotive domain, especially with TCU
Knowledge of automotive communication protocols (CAN, Ethernet, etc.). 
Experience in multi-threaded, memory-constrained environments. 

What Makes You Eligible

Must be willing to work from the office as and when required (hybrid work culture). 
Ability to work collaboratively in a team environment; this is not a solo/individual contributor role. 
Excellent communication skills to work across teams and functions. 

What We Offer

Flexible work environment, depends on test requests, mostly we request to work from office for best test quality results,
Access to employee discounts on world-class Harman and Samsung products (JBL, HARMAN Kardon, AKG, etc.)
Extensive training opportunities through our own HARMAN University
Competitive wellness benefits
Tuition Reimbursement
Access to HARMAN Campus Fitness Center and Cafeteria
An inclusive and diverse work environment that fosters and encourages professional and personal development. 

You Belong Here

HARMAN is committed to making every employee feel welcomed, valued, and empowered. No matter what role you play, we encourage you to share your ideas, voice your distinct perspective, and bring your whole self with you – all within a support-minded culture that celebrates what makes each of us unique. We also recognize that learning is a lifelong pursuit and want you to flourish. We proudly offer added opportunities for training, development, and continuing education, further empowering you to live the career you want.

About HARMAN: Where Innovation Unleashes Next-Level Technology

Ever since the 1920s, we’ve been amplifying the sense of sound. Today, that legacy endures, with integrated technology platforms that make the world smarter, safer, and more connected.

Across automotive, lifestyle, and digital transformation solutions, we create innovative technologies that turn ordinary moments into extraordinary experiences. Our renowned automotive and lifestyle solutions can be found everywhere, from the music we play in our cars and homes to venues that feature today’s most sought-after performers, while our digital transformation solutions serve humanity by addressing the world’s ever-evolving needs and demands. Marketing our award-winning portfolio under 16 iconic brands, such as JBL, Mark Levinson, and Revel, we set ourselves apart by exceeding the highest engineering and design standards for our customers, our partners and each other."
14,The Trade Desk,2026 India Software Engineering Internship,"['Bengaluru, Karnataka, India', ' · ', 'Reposted 1 week ago', ' · ', 'Over 100 people clicked apply', 'Promoted by hirer', ' · ', 'Responses managed off LinkedIn', 'Internship']","About the job
The Trade Desk is a global technology company with a mission to create a better, more open internet for everyone through principled, intelligent advertising. Handling over 1 trillion queries per day, our platform operates at an unprecedented scale. We have also built something even stronger and more valuable: an award-winning culture based on trust, ownership, empathy, and collaboration. We value the unique experiences and perspectives that each person brings to The Trade Desk, and we are committed to fostering inclusive spaces where everyone can bring their authentic selves to work every day.

Do you have a passion for solving hard problems at scale? Are you eager to join a dynamic, globally- connected team where your contributions will make a meaningful difference in building a better media ecosystem? Come and see why Fortune magazine consistently ranks The Trade Desk among the best small- to medium-sized workplaces globally.

What you’ll do 


You'll own and deliver a complete software project, participating actively in all stages of design, development, and delivery. At The Trade Desk, we value ownership and are dedicated to ensuring that your time here leads to a significant and impactful contribution for the team. 
Receive close, one-on-one mentorship from an experienced software engineer 
Collaborate with a globally connected team of engineers, Interns & other teams and departments in cities across the world 
Work with new technologies across a wide spectrum of computer science, including distributed systems, petabyte-scale data processing, machine learning/AI, and UI/UX 

 

Who you are 


You are fluent in one or more modern programming languages, eg, Javascript, Python, Java, PHP, C and C++, SQL 
Have a firm grasp on basic data structures and algorithmic techniques 
You are comfortable working on an agile, distributed team spanning multiple time zones and continents. 
You have experience of software projects. 
You are a quick and self-directed learner. We provide close support and mentorship, but you will have ownership over the design, plan, and implementation of what you build. 
You value, seek out, and foster diversity. We are a global team from many diverse backgrounds, with different experiences and perspectives. To complement this team, you will welcome ideas that are different from your own and be skilled at finding and building from common ground. 
Currently enrolled in a Bachelor’s or Master’s degree program in Computer Science, Software Engineering, or a related field. 
Anticipated graduation date between November 2026 and August 2027. 
Availability to work for 12 weeks during Summer 2026 (June–August) in Bangalore, India.
Open to the possibility of rejoining the same office and team for a future SWE full-time position. 

This is a right opportunity for you if you are looking for 


Work at a Global Technology Company with a Mission: Be part of a company dedicated to making the Internet better for everyone—consumers, content owners, and marketers—by contributing to meaningful and impactful projects that transform how advertising is bought and sold. 
Innovate and Solve Unsolved Problems: Tackle challenges that don’t have predefined solutions, where you take ownership and are responsible for delivering impactful outcomes. 
Engage in Unique, Large-Scale Challenges: Work with cutting-edge technology on a platform that handles over 11 million requests per second, processing more queries than the combined searches on Google, tweets on Twitter, and snaps on Snapchat. 
Be Part of an Award-Winning Culture: Join a collaborative, trust-driven workplace that values empathy, collaboration, and ownership—a culture built to support your growth. 
Explore Future SWE Full Time Opportunities: Outstanding interns may have the chance to return to the same office and team for future SWE full-time position. 

The Trade Desk does not accept unsolicited resumes from search firm recruiters. Fees will not be paid in the event a candidate submitted by a recruiter without an agreement in place is hired; such resumes will be deemed the sole property of The Trade Desk. The Trade Desk is an equal opportunity employer. All aspects of employment will be based on merit, competence, performance, and business needs. We do not discriminate on the basis of race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, genetic information, gender, sexual orientation, gender identity or expression, veteran status, or any other status protected under federal, state, or local law.

As an Equal Opportunity Employer, The Trade Desk is committed to making our job application process accessible to everyone and to providing reasonable accommodations for applicants with disabilities. If you have a disability or medical condition and require an accommodation for any part of the application or hiring process, please contact us at accommodations@thetradedesk.com

You can also contact us using the same email address if you have a disability and need assistance to access our Company website.

When contacting us, please provide your contact information and specify the nature of your accessibility issue."
15,UBS,Technical Architect,"['Pune, Maharashtra, India', ' · ', 'Reposted 1 week ago', ' · ', 'Over 100 people clicked apply', 'Promoted by hirer', ' · ', 'Responses managed off LinkedIn', 'On-site', 'Full-time']","About the job
Job Reference #
319847BR

Job Type
Full Time

Your role

 Modernize, rationalize and simplify our technology landscape, application portfolio and surrounding processes
 Work collaboratively to align product and architectural strategy, so that products and services are developed in line with our digital principles and architectural goals
 Work as part of multi-disciplinary Agile teams, participating in agile ceremonies and collaborating with engineers, product managers, designers, and others
 Stay up to date on architectural tools and practices, and actively participate in guilds, working groups and forums to share knowledge, identify and promote reuse across the organization
 Understand the business need and accordingly develop and maintain System Design diagrams and documentation for all Integrations
 Stay up-to-date with new Azure services and technologies and evaluate their potential for improving System Design for the application.
 Manage our Architecture governance and control processes related to Engineering Standards, Risk Management, Data Confidentiality, Security and Technology Risk, including maintenance of Architecture and evidencing documentation

Your team
You’ll be working in the Trading Platform crew in Switzerland which is part of the Trade and Transfer Assets Stream. We build, support and transform trading applications for UBS Global Wealth Management and P&C Clients. Our Platform is used globally both internally and externally 24/7 and is truly cross-asset supporting Equities, Funds, Fixed income, FX, MoneyMarket, Structure Products, Digital assets.

Your expertise

 8+ years of experience in Technology within a software engineer/architect role
 Experience with Architecture concepts such API management, Integration Patterns, REST API, Microservices, Event Driven Architecture, Domain Driven Design, KAFKA, AKS Cluster, Unit testing, Release management and dependency management, Monitoring and Observability
 Proven delivery with an Agile delivery organization, with successful management of complex and diverse tasks, while meeting key objectives and timelines
 Strong active listening and communication skills to build networks and partnerships at all levels

About Us
UBS is the world’s largest and the only truly global wealth manager. We operate through four business divisions: Global Wealth Management, Personal & Corporate Banking, Asset Management and the Investment Bank. Our global reach and the breadth of our expertise set us apart from our competitors.

We have a presence in all major financial centers in more than 50 countries.

Join us
At UBS, we know that it's our people, with their diverse skills, experiences and backgrounds, who drive our ongoing success. We’re dedicated to our craft and passionate about putting our people first, with new challenges, a supportive team, opportunities to grow and flexible working options when possible. Our inclusive culture brings out the best in our employees, wherever they are on their career journey. We also recognize that great work is never done alone. That’s why collaboration is at the heart of everything we do. Because together, we’re more than ourselves.

We’re committed to disability inclusion and if you need reasonable accommodation/adjustments throughout our recruitment process, you can always contact us.

Disclaimer / Policy Statements
UBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce."
16,Ladybird Web Solution Pvt Ltd,Software Engineering internship,"['Jammu, Jammu & Kashmir, India', ' · ', '1 month ago', ' · ', 'Over 100 people clicked apply', 'Responses managed off LinkedIn', 'Remote', 'Internship']","About the job
Introduction
Ladybird Web Solution is offering an internship programme for freshers to start their careers in the field of software development.

Purpose of this engagement is to hire good candidates and offer them full time job after they finish the internship.

Who are we looking for?
Freshers graduated from reputed engineering colleges in India
 Candidate having Creative Thinking and Original Approach
 Willingness & ability to learn & work on new technologies
 
Responsibilities/Learning
As part of the internship, you will learn to work on either of the technologies listed below and build a project using this technology. Focus will be on practical aspects, as well as writing code with certain quality standards.

Students will learn to use the technology hands on and will have real world practical experience on the technologies learned as part of academics.


Technologies
Ladybird Web Solution is makers of Faveo Helpdesk software. LWS works on following technologies
Vue.js
 Laravel Framework
 React Native
 
Qualification
Candidates from Engineering(computer science and information technology) background preferred
 Candidates having interest in programming preferred
 Candidates having prior knowledge of technologies mentioned above are preferred
 
How can I apply?
You are invited to send us your complete resume with picture
 Indicate the area of work that you are applying for
 Attach previous work or portfolio
 Do go over our company website www.faveohelpdesk.com before applying
 
Job Perks
Complementary Hot Beverages and Healthy Lunch provided at office


Internship Duration
Internship duration is 3 months
 Exceptionally good interns may be offered permanent job opportunities depending on the needs of the organization
 We do not charge any fees/money in terms of caution deposit or training charges or in any other forms from candidates
 
Ethical Code
We are an equal opportunity employer and value diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.




Desired Skills and Experience
HTML CSS, Java."
17,NeerInfo Solutions,Technical Architect,"['India', ' · ', '3 weeks ago', ' · ', 'Over 100 applicants', 'Promoted by hirer', ' · ', 'Remote', 'Full-time', '']","About the job
Salesforce Technical Architecture

As a Technology Delivery Lead, you will manage the delivery of large and complex technology projects. Your typical day involves collaborating with various stakeholders to ensure that project scope and risks are effectively managed. You will drive profitability by overseeing service quality and cost, while also proactively supporting sales through innovative solutions and delivery excellence. Your role will require you to engage with multiple teams, ensuring that all aspects of the project align with organizational goals and client expectations.

Roles & Responsibilities:
- Expected to be a Subject Matter Expert with deep knowledge and experience.
- Should have influencing and advisory skills.
- Responsible for team decisions.
- Engage with multiple teams and contribute on key decisions.
- Expected to provide solutions to problems that apply across multiple teams.
- Facilitate workshops and meetings to gather requirements and align project objectives.
- Mentor junior professionals to enhance their skills and knowledge in technology delivery.

Professional & Technical Skills:
- Must To Have Skills: Proficiency in Salesforce Technical Architecture.
- Strong understanding of cloud computing principles and architecture.
- Experience with integration patterns and data migration strategies.
- Ability to design scalable and secure technical solutions.
- Familiarity with Agile methodologies and project management frameworks."
18,Salesforce,Software Engineering LMTS/PMTS - Hyperforce Networking,"['Bengaluru, Karnataka, India', ' · ', ' · ', 'Over 100 people clicked apply', 'Promoted by hirer', ' · ', 'Responses managed off LinkedIn', 'Hybrid', 'Full-time']","About the job
To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.

Job Category

Software Engineering

Job Details

About Salesforce

Salesforce is the #1 AI CRM, where humans with agents drive customer success together. Here, ambition meets action. Tech meets trust. And innovation isn’t a buzzword — it’s a way of life. The world of work as we know it is changing and we're looking for Trailblazers who are passionate about bettering business and the world through AI, driving innovation, and keeping Salesforce's core values at the heart of it all.

Ready to level-up your career at the company leading workforce transformation in the agentic era? You’re in the right place! Agentforce is the future of AI, and you are the future of Salesforce.

Principal/Lead Distributed Systems Engineer, Hyperforce Networking 

Salesforce powers some of the largest companies on the globe with its core CRM offering, and our customers access Salesforce data from around the world. The Hyperforce Networking team develops mission-critical network software services that ensure secure connectivity within Salesforce, as well as between Salesforce and its external customers, including developing advanced network observability capabilities to ensure optimal performance and reliability which translate into an even better customer experience.

Shape the Future of Cloud Networking at Salesforce

Are you a strong engineer ready to lead the design and implementation of critical services? We're transforming our software stack, embracing cloud-native primitives to build a highly reliable, scalable, and feature-rich delivery platform. This role offers the unique opportunity to reshape networking for Salesforce in the public clouds, solving challenges at an unprecedented scale.

Our foundation lies in cutting-edge open-source projects such as OpenvSwitch, BIRD, LibreSwan, ETCD, Linux Xfrm, and BPF. You'll have significant opportunities to innovate, enhance these capabilities, and contribute directly to the open-source community. We're looking for experienced distributed systems engineers who are passionate about new challenges and eager to make a significant impact on our vision.

Attributes of a Successful Candidate

Passion for Service Ownership: Experience and passion for building reliable, self-healing services.

Complex Problem Solver: Ability to work effectively in a complex team environment, delivering under pressure and dependency constraints.

Large-Scale Distributed Systems: Experience building large-scale distributed systems, especially in cloud environments.

Cloud Savvy: Familiarity with public cloud services including AWS, Azure, and Google Cloud Platform.

Networking Expertise: Strong knowledge of network technologies such as BGP, IPSec, TCP/IP, DNS, and TLS.

Agile & Quality Focused: Experience with Scrum or other agile development methodologies, with a strong focus on code quality and delivering secure code.

Balanced Approach: Proven ability to balance live-site management, feature delivery, and the retirement of technical debt.

Resilience Advocate: Excited by building reliable, self-healing services on unreliable hardware.

Operational Design: Experience designing, developing, debugging, and operating resilient distributed systems that run across thousands of compute nodes in multiple data centers.

Requirements

Technical Proficiency: Experience with Golang, Python, or C/C++ in a Linux/UNIX data center environment.

Production Ownership: Experience with live site / production service ownership.

Mission-Critical Operations: Experience owning and operating multiple instances of a mission-critical service.

Development Methodologies: Experience with Agile development methodology and Test-Driven Development.

Data-Driven Operations: Experience using telemetry and metrics to drive operational excellence.

Unleash Your Potential

When you join Salesforce, you’ll be limitless in all areas of your life. Our benefits and resources support you to find balance and be your best, and our AI agents accelerate your impact so you can do your best. Together, we’ll bring the power of Agentforce to organizations of all sizes and deliver amazing experiences that customers love. Apply today to not only shape the future — but to redefine what’s possible — for yourself, for AI, and the world.

Accommodations

If you require assistance due to a disability applying for open positions please submit a request via this Accommodations Request Form.

Posting Statement

Salesforce is an equal opportunity employer and maintains a policy of non-discrimination with all employees and applicants for employment. What does that mean exactly? It means that at Salesforce, we believe in equality for all. And we believe we can lead the path to equality in part by creating a workplace that’s inclusive, and free from discrimination. Know your rights: workplace discrimination is illegal. Any employee or potential employee will be assessed on the basis of merit, competence and qualifications – without regard to race, religion, color, national origin, sex, sexual orientation, gender expression or identity, transgender status, age, disability, veteran or marital status, political viewpoint, or other classifications protected by law. This policy applies to current and prospective employees, no matter where they are in their Salesforce employment journey. It also applies to recruiting, hiring, job assignment, compensation, promotion, benefits, training, assessment of job performance, discipline, termination, and everything in between. Recruiting, hiring, and promotion decisions at Salesforce are fair and based on merit. The same goes for compensation, benefits, promotions, transfers, reduction in workforce, recall, training, and education."
19,LTIMindtree,Specialist - Software Engineering,"['Mumbai, Maharashtra, India', ' · ', '2 weeks ago', ' · ', '76 people clicked apply', 'Promoted by hirer', ' · ', 'Responses managed off LinkedIn', 'On-site', 'Full-time']","About the job
Role Description

 Will work on application development along with maintenance of existing software systems as individual contributor and work in collaboration with other team members.
 Understanding technical specification and requirements
 Designing and developing structured code to meet specification.
 Ensuring design meets standards and complies with system architecture.
 Testing solution meets specification.
 Responsible for code quality checks through frequent peer design / code reviews.
 User support for UAT.
 Coordination with Release Management, Users and Project Management to ensure Production releases are completed in controlled, timely fashion (including raising requests and obtaining approval).
 Comprehensive support at implementation time.
 Production Support - Provide Level 3 Support
 4-8 years of experience
 Good experience in Microsoft .net technologies C#.net,
 Having worked in .NET framework 4.0 and above with LINQ and Entity Framework
 Good Hands on experience of Implementing Dependency Injection using any framework
 Experience on Unit Testing using Moq
 Familiarity with RESTful APIs and micro services

Skills

Mandatory Skills : Microservices,.Net Core,JSON,.NET Core WebAPI (Using MVC Core),Entity Framework (EF/EF Core),LINQ,ASP.NET MVC Core

Desired Skills and Experience
Mandatory Skills : Microservices,.Net Core,JSON,.NET Core WebAPI (Using MVC Core),Entity Framework (EF/EF Core),LINQ,ASP.NET MVC Core"
20,Walmart Global Tech India,"Principal, Software Engineering","['Bengaluru, Karnataka, India', ' · ', 'Reposted 6 days ago', ' · ', '66 people clicked apply', 'Promoted by hirer', ' · ', 'Responses managed off LinkedIn', 'Hybrid', 'Full-time']","About the job
Position Summary...

What you'll do...

About Team:

Walmart’s Enterprise Business Services (EBS) is a powerhouse of several exceptional teams delivering world-class technology solutions and services making a profound impact at every level of Walmart.

As a key part of Walmart Global Tech, our teams set the bar for operational excellence and leverage emerging technology to support millions of customers, associates, and stakeholders worldwide. Each time an associate turns on their laptop, a customer makes a purchase, a new supplier is onboarded, the company closes the books, physical and legal risk is avoided, and when we pay our associates consistently and accurately, that is EBS. Joining EBS means embarking on a journey of limitless growth, relentless innovation, and the chance to set new industry standards that shape the future of Walmart.

The Customer Care Technology team builds best-in-class customer service experiences for hundreds of millions of Walmart customers and customer service agents globally. We are a group of software engineers, data scientists, and machine learning experts pushing the boundaries of GenAI technology in complex enterprise applications. The Customer Care Technology team is part of the Enterprise Business Systems organization in Walmart Global Tech. We partner with our product, business and UX teams to drive significant measurable business impact. Our mission is to help customers save money and live better.

What you will do:

Stay abreast with technical advancements and drive system architecture and software development processes. 
Lead and mentor teams in the implementation of complex systems, fostering a culture of technical excellence and innovation. 
Be hands-on in prototyping, researching, and coding scalable, consumer-facing systems. 
Collaborate with business and product teams to achieve our long-term business goals. 
Champion operational and engineering excellence. 
Participate in code reviews, operational reviews, architectural discussions, and troubleshooting sessions to ensure the highest standards of development. 
Provide mentorship to engineers, managers, and others to help develop great talent. 

What you will bring:

B.Tech. / B.E. / M.Tech. / M.S. in Computer Science or relevant discipline
12+ years of experience in design and development of highly -scalable applications and platform development. 
Strong computer science fundamentals: Data structures, Algorithms, Design patterns. 
Extensive hands-on experience building services using these technologies ( Java, Spring boot, Microservices)
Hands-on experience in web technologies like React JS, Java script, Type script, CSS. 
Hosted & Participated Architecture Review & Design/Code Review events. 
Hands on System Designing experience. 
In depth knowledge and Hands-on working experience on Restful web services
In depth knowledge and working experience on SOAP web services
Good Knowledge in messaging systems: Kafka/RabbitMQ
Working knowledge of SQL and NoSQL database technologies. 
Knowledge on Linux platform
Knowledge on unit testing frameworks (Junit, Jest , Spock etc) and code quality control platforms like Sonar
Knowledge on cloud platforms any cloud platforms like IAAS/PAAS
CI/CD development environments/tools: Git, Maven, Gradle, Docker, Kubernetes, Jenkins, Azure DevOps. 

About Walmart Global Tech

Imagine working in an environment where one line of code can make life easier for hundreds of millions of people. That’s what we do at Walmart Global Tech. We’re a team of software engineers, data scientists, cybersecurity expert's and service professionals within the world’s leading retailer who make an epic impact and are at the forefront of the next retail disruption. People are why we innovate, and people power our innovations. We are people-led and tech-empowered.

We train our team in the skillsets of the future and bring in experts like you to help us grow. We have roles for those chasing their first opportunity as well as those looking for the opportunity that will define their career. Here, you can kickstart a great career in tech, gain new skills and experience for virtually every industry, or leverage your expertise to innovate at scale, impact millions and reimagine the future of retail.

Flexible, hybrid work

We use a hybrid way of working with primary in office presence coupled with an optimal mix of virtual presence. We use our campuses to collaborate and be together in person, as business needs require and for development and networking opportunities. This approach helps us make quicker decisions, remove location barriers across our global team, be more flexible in our personal lives.

Benefits

Beyond our great compensation package, you can receive incentive awards for your performance. Other great perks include a host of best-in-class benefits maternity and parental leave, PTO, health benefits, and much more.

Belonging

We aim to create a culture where every associate feels valued for who they are, rooted in respect for the individual. Our goal is to foster a sense of belonging, to create opportunities for all our associates, customers and suppliers, and to be a Walmart for everyone.

At Walmart, our vision is ""everyone included."" By fostering a workplace culture where everyone is—and feels—included, everyone wins. Our associates and customers reflect the makeup of all 19 countries where we operate. By making Walmart a welcoming place where all people feel like they belong, we’re able to engage associates, strengthen our business, improve our ability to serve customers, and support the communities where we operate.

Equal Opportunity Employer

Walmart, Inc., is an Equal Opportunities Employer – By Choice. We believe we are best equipped to help our associates, customers and the communities we serve live better when we really know them. That means understanding, respecting and valuing unique styles, experiences, identities, ideas and opinions – while being inclusive of all people.

Minimum Qualifications...

Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications. 

Minimum Qualifications:Option 1: Bachelor's degree in computer science, computer engineering, computer information systems, software engineering, or related area and5 years’ experience in software engineering or related area.

Option 2: 7 years’ experience in software engineering or related area.

Preferred Qualifications...

Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications. 

Master’s degree in computer science, computer engineering, computer information systems, software engineering, or related area and 3 years' experience in software engineering or related area.

Primary Location...

Pardhanani Wilshire Ii, Cessna Business Park, Kadubeesanahalli Village, Varthur Hobli , India R-2241630"
21,KONE,"Software Engineering (Embedded software engineer, Full stack, DevOps)","['Pune, Maharashtra, India', ' · ', 'Reposted 2 weeks ago', ' · ', 'Over 100 people clicked apply', 'Promoted by hirer', ' · ', 'Responses managed off LinkedIn', 'Full-time']","About the job
Job Title : Full Stack Developer

Job Location: Pune/Chennai

Job Description:

A Full Stack Developer is responsible for developing and maintaining both the front-end and back-end of web applications. This role involves working with a variety of technologies and languages to create fully functional platforms.

Responsibilities:

Front-End Development: Design and implement user interfaces using HTML, CSS, and JavaScript.
Back-End Development: Develop server-side logic, databases, and APIs using languages like Python, Java, or Node.js.
Database Management: Create and manage databases to ensure data integrity and performance.
Integration: Integrate front-end and back-end components to create seamless applications.
Testing & Debugging: Test and debug applications to ensure functionality and performance.
Collaboration: Work with cross-functional teams to deliver high-quality software solutions.

Requirements:

Bachelor’s degree or equivalent education with over 4+ years hands-on experience.
Proficiency in front-end and back-end technologies.
Experience with databases and server management.
Strong problem-solving skills and attention to detail.
Ability to work collaboratively in a team environment 

Job Title: Embedded Engineer

Job Location: Pune/Chennai

Job Description: 

An Embedded Engineer designs, develops, and maintains embedded systems and software. This role involves working with hardware and software to create efficient and reliable systems.

Responsibilities:

System Design: Design and implement software for embedded devices and systems.
Development: Write and test code in languages such as C, C++, and assembly.
Integration: Integrate software with hardware components to ensure smooth operation.
Optimization: Enhance system efficiency, stability, and scalability.
Troubleshooting: Identify and resolve issues in embedded systems.
Collaboration: Work with hardware engineers and other team members to develop comprehensive solutions.

Requirements:

Bachelor’s degree or equivalent education
Proficiency in programming languages like C and C++.
Experience with embedded systems and real-time operating systems.
Strong analytical and problem-solving skills.
Ability to work effectively in a collaborative environment .

At KONE, we are focused on creating an innovative and collaborative working culture where we value the contribution of each individual. Employee engagement is a key focus area for us and we encourage participation and the sharing of information and ideas. Sustainability is an integral part of our culture and the daily practice. We follow ethical business practices and we seek to develop a culture of working together where co-workers trust and respect each other and good performance is recognized. In being a great place to work, we are proud to offer a range of experiences and opportunities that will help you to achieve your career and personal goals and enable you to live a healthy and balanced life.

Read more on www.kone.com/careers"
22,Accenture in India,Application Lead,"['Hyderabad, Telangana, India', ' · ', '4 days ago', ' · ', 'Promoted by hirer', ' · ', 'Responses managed off LinkedIn', 'On-site', 'Full-time']","About the job
Project Role : Application Lead

Project Role Description : Lead the effort to design, build and configure applications, acting as the primary point of contact.

Must have skills : SAP MM Materials Management

Good to have skills : Agile Project Management, SAP FI CO Finance, SAP FI S/4HANA Central Finance

Minimum 5 Year(s) Of Experience Is Required

Educational Qualification : 15 years full time education

Summary: As an Application Lead, you will lead the effort to design, build, and configure applications, acting as the primary point of contact. Your typical day will involve collaborating with various teams to ensure that application requirements are met, overseeing the development process, and providing guidance to team members. You will also engage in problem-solving activities, ensuring that the applications are aligned with business needs and technical specifications, while fostering a collaborative environment that encourages innovation and efficiency. Roles & Responsibilities: - Expected to be an SME. - Collaborate and manage the team to perform. - Responsible for team decisions. - Engage with multiple teams and contribute on key decisions. - Provide solutions to problems for their immediate team and across multiple teams. - Facilitate knowledge sharing sessions to enhance team capabilities. - Monitor project progress and ensure timely delivery of milestones. Professional & Technical Skills: - Must To Have Skills: Proficiency in SAP MM Materials Management. - Good To Have Skills: Experience with SAP FI CO Finance, SAP FI S/4HANA Central Finance, Agile Project Management. - Strong understanding of supply chain processes and inventory management. - Experience in configuring and customizing SAP MM modules. - Ability to analyze business requirements and translate them into technical specifications. Additional Information: - The candidate should have minimum 5 years of experience in SAP MM Materials Management. - This position is based at our Hyderabad office. - A 15 years full time education is required."
23,Infosys,Technical Architect,"['Bengaluru, Karnataka, India', ' · ', '3 weeks ago', ' · ', '50 people clicked apply', 'Promoted by hirer', ' · ', 'Responses managed off LinkedIn', 'Hybrid', 'Full-time', '']","About the job
We are seeking a highly skilled and experienced Senior Architect/Consultants to lead our Generative AI Technologies team. The ideal candidate will have a deep understanding of Generative AI, machine learning, and related technologies, along with a proven track record of architecting and implementing innovative solutions. As a Senior Architect/Consultant, you will play a pivotal role in shaping our Generative AI strategy, selecting appropriate models and technologies, and collaborating with cross-functional teams to deliver cutting-edge solutions that meet customer requirements and business objectives.
Primary Skill Set:
Generative AI Expertise: In-depth knowledge of various Generative AI techniques, including GANs (Generative Adversarial Networks), VAEs (Variational Autoencoders), and other relevant architectures. Experience with both image and text generation is essential. Conversant with Gen AI development tools like Prompt engineering, Langchain, Semantic Kernels, Function calling. Exposure to both API based and opens source LLMs based solution design.
Responsible AI: Should have proficient knowledge in Responsible AI and Data Privacy principles to ensure ethical data handling, transparency, and accountability in all stages of AI development. Must demonstrate a commitment to upholding privacy standards, mitigating bias, and fostering trust within data-driven initiatives.
Machine Learning Mastery: Profound understanding of machine learning principles, algorithms, and frameworks. Able to design and implement models, optimize performance, and manage training pipelines effectively.
Technical Proficiency: Proficiency in programming languages commonly used in AI development, such as Python, TensorFlow, PyTorch, or similar tools. Experience with cloud platforms (e.g., AWS, Azure, GCP) and distributed computing is advantageous.
Architecture Design: Ability to design end-to-end Generative AI architectures that encompass data preprocessing, model selection, training pipelines, and deployment strategies. Strong grasp of scalable, reliable, and efficient system design.
Holding 7+ years of experience relevant."
